R_mean;G_mean;B_mean;H_mean_deg;S_mean;V_mean;L_star;a_star;b_star;C_star;h_deg;image;area_pixels
143,77555908396803;109,34049764636194;64,46857668280155;33,55676596460605;141,67390809069656;143,7762227059185;48,5608711518008;8,219663538997708;30,06352544487791;31,16694452250894;74,70848712934453;AmbT1.13.05.26.JPG;855909
139,10537330993375;104,72188258857162;62,40916159888314;32,72736825098879;141,6988817783018;139,10653013352803;46,77650179282508;8,587779848330314;28,89460079103054;30,14378737976386;73,44749599015145;AmbT2.13.05.26.JPG;810841
141,52143850481346;106,76096574448059;63,25562718475097;32,95812730226463;142,205864447703;141,52234651282504;47,60143519757099;8,603817302367816;29,501450863811414;30,730461682871006;73,74117803564867;AmbT3.13.05.26.JPG;872239
143,12535850008499;112,68201019611713;73,40009432048126;33,63611304565587;125,27288231326465;143,12929765971876;49,53424943480648;6,89177821525908;26,31200520590562;27,199599719920954;75,32250900419416;AmbTemp1.11.05.26.JPG;547071
142,72410704933486;112,43797877169094;73,81640829579973;33,35662860933627;124,24750008728745;142,72710100904297;49,419922488739914;6,928312558919032;25,932603610209128;26,84215797804466;75,04187052371428;AmbTemp1.2.11.05.26.JPG;572820
145,19759281407784;116,14542004369818;78,48319669301475;33,64172841650909;118,4265672432955;145,20089579032003;50,767615207307365;6,378971422462456;25,094777377619494;25,892839319797968;75,73775393195862;AmbTemp1.3.11.05.26.JPG;448989
141,10334430143283;108,32876199999225;68,3982117734603;32,781882094868244;132,57017064502503;141,1069641618318;48,0541111146828;8,016789331100966;27,215209227155924;28,371403286709793;73,58659822712934;AmbTemp2.11.05.26.JPG;516042
143,27176249819564;112,2957089929269;72,89998941442525;33,26360198238945;126,41003512486166;143,27463407592745;49,42544481585157;7,180994081701385;26,466259923976338;27,42315792108754;74,81961708566271;AmbTemp2.2.11.05.26.JPG;519575
141,69548395639146;112,53305982253602;75,61409080376737;33,27701633081436;120,12824956334981;141,6983287542667;49,36314607896397;6,581559634635255;24,83495109712618;25,692250256077394;75,1571314268708;AmbTemp2.3.11.05.26.JPG;513569
150,13662417582418;119,34763076923078;74,88394139194139;35,14018754578755;129,13438534798536;150,13687765567767;52,097967966673856;6,3151516483516446;28,888293040293036;29,570502449629114;77,66879158408449;boild_1_08.04.26.JPG;682500
150,62650574305096;118,95356106482043;74,00093773618356;34,907414491834075;130,97917541420568;150,62678721941782;52,03286434022226;6,653413950653004;29,307779633551974;30,053516670226596;77,20957466973063;boild_2_08.04.26.JPG;643038
150,29899072772923;118,6037828071676;73,40060748356915;34,94640877709019;131,8593826826451;150,29916965607936;51,88823347431392;6,657840989430127;29,456120367865054;30,19917008407169;77,26369090058765;boild_3_08.04.26.JPG;687426
120,808009548721;90,66494149599917;55,36322953264206;31,99650143280137;139,61309266435293;120,80944481618548;40,755865623788814;7,926714223944458;25,004568852558748;26,230921865051453;72,41083126895963;Boiled1.04.05.26.JPG;608249
131,4475766673662;93,95667567501974;51,02873678905749;31,743320470375938;157,03668726738533;131,44813915407138;42,86294927729808;10,443919076151275;30,251591451915232;32,003659650777244;70,95351571219474;Boiled1.07.05.26.JPG;700461
135,16369165422012;102,30726714603291;58,44485036048135;33,967717517515844;145,89658269187305;135,16376938282295;45,623496294455926;7,865714869960044;29,59048267070696;30,618068768309335;75,11393143038079;Boiled1.16.04.26.JPG;836243
144,0991780781105;110,595548885173;66,08821787819765;33,94177649832227;139,39121359169064;144,0991780781105;48,97048764648997;7,794882633129362;29,708092969905067;30,713693740297416;75,29799647805017;boiled1.20.04.26.JPG;537034
135,1481547420348;106,5710975112199;68,26100218834613;34,115209376506805;127,24458143243945;135,1484841066726;46,92380322775599;6,332956492711702;25,715719743332954;26,48404387279676;76,16518731221224;Boiled1.28.04.26.JPG;674025
145,9587858440471;111,28131752216002;64,09524511666505;34,29793210874246;144,50034688549755;145,95897866323372;49,33259764028902;8,059136888389816;31,283206015958626;32,304622982209764;75,55366035680795;Boiled1_23.04.26.JPG;528993
118,30887183008467;85,83601793371159;50,92702790609674;30,743398689197893;146,52902961103234;118,31028764942103;39,09281353097448;9,27715832729237;25,410332504958546;27,050890274484555;69,94316856399519;Boiled2.04.05.26.JPG;470399
134,56960370715854;96,79757108897782;51,76099419251948;32,34905545692534;158,29888484337857;134,5701236722535;43,994745123999714;10,265675683808269;31,296960250353578;32,93757456397396;71,84005875557571;Boiled2.07.05.26.JPG;830825
137,50688896990135;105,84990088632686;62,577842967486156;34,30791086604844;140,07842511791108;137,5069277039805;46,89872400918716;7,22575246644945;28,93317915650846;29,82181005252726;75,97781471779017;Boiled2.16.04.26.JPG;877780
145,22970931645708;113,09965701322434;69,1830415095019;34,33375403977206;134,8243853694985;145,22993077248543;49,7989770235399;7,136325090247823;29,0495647398792;29,913280451500693;76,19801409981464;boiled2.20.04.26.JPG;555415
133,70531027335545;104,27786525042976;65,49753829405778;33,879519406115364;131,30812224576468;133,7056085687663;46,089578105852475;6,718061633367256;26,212560081923613;27,05976086661108;75,62497922405619;Boiled2.28.04.26.JPG;650362
144,8584362188514;111,03512179952725;63,881428253711455;34,60921610190341;143,73714250849753;144,85875112431088;49,14350384576363;7,676609806549635;31,113495863913613;32,046528095813805;76,14026791376783;Boiled2_23.04.26.JPG;508089
119,47257940133613;87,34418352207479;51,10049958507615;31,53958541144519;147,85666686225366;119,47423909672337;39,630513971403865;8,902285434077413;26,050779973008986;27,52987146994902;71,13325685367208;Boiled3.04.05.26.JPG;477196
133,40142889010954;95,66380304967414;51,917013075172044;31,970304415718992;157,25616279320792;133,40159080060542;43,56765932733561;10,442296298606124;30,666990887437436;32,396078189775594;71,19598009773776;Boiled3.07.05.26.JPG;833794
137,36566214428638;104,95537790767085;60,59532814716122;34,411682258611386;143,6810671289332;137,36566691976714;46,62732325969074;7,521992282823078;29,674049559939448;30,612572338642053;75,7758615909258;Boiled3.16.04.26.JPG;837612
142,12624773740828;111,19368342960098;70,16058474573907;43,45065528003146;131,874025586461;142,96663914834514;49,01507103877672;7,18136991038881;27,35669880546314;28,283582575810055;75,29123275826323;boiled3.20.04.26.JPG;717098
144,22341711103428;110,75619597066265;65,74404062096202;34,095699492237976;140,06989644566582;144,22349354832838;49,01985692451586;7,720199464938929;29,9441698363878;30,923369592734883;75,54285315112374;Boiled3_23.04.26.JPG;549470
137,9735934816637;106,09498705369408;62,80482716044036;34,30030329145573;140,0958801346743;137,97367528326208;47,03812744196523;7,310227750085517;28,99075834412392;29,898218995878516;75,8474890493204;FastB1_10.04.26.JPG;2078199
135,01310515561144;102,68020727106831;59,904961145060994;33,82586009921715;142,88658268223676;135,01312719960742;45,73391434766835;7,6944639858611765;28,913663252083637;29,919971568913738;75,09790321224379;FastB2_10.04.26.JPG;2086736
135,88136104350838;102,19093134661446;59,10403532229672;33,36925555758631;145,28829708437144;135,88141010225382;45,69173962764016;8,287187490981836;29,34332320093884;30,491114984294054;74,22917556618353;FastB3_10.04.26.JPG;2079140
137,1177658795139;99,63145307248125;43,71997005084892;35,550288718434885;174,14638455571836;137,11851999482892;44,97420165170265;9,193926139791444;36,58606071705594;37,723575077874635;75,89389723998873;FastBNaked_10.04.26.JPG;185648
97,02013055489842;94,89294378039833;88,34992201189269;52,92311856197148;22,332592212416348;97,19066187644599;40,20082085047959;-0,41482455683107844;3,9957357145434855;4,017210887348141;95,92703250296536;FastBSkin_10.04.26.JPG;498794
152,54170774030166;123,02867884514862;84,4093965338228;33,79533455221583;114,93749388370811;152,54176711308637;53,49001371874619;6,254068975064627;25,422351436761716;26,18032336162192;76,17929808944669;IMG_0444.JPG;3351704
158,48387882605337;124,32039924737347;75,05728279214749;35,080839158831296;135,24238423252822;158,48439206206925;54,30862479824055;7,1406787097677125;31,733824317158337;32,527294665071665;77,31863998758469;imitation2.2.25.05.26.JPG;2228994
158,7949369985781;122,91996984121485;71,90824263575638;34,88356910616258;140,49840584273915;158,79515458712865;53,930290715903574;7,77113538017079;32,97539108525305;33,87870957286196;76,7393632350667;imitation2.3.25.05.26.JPG;2569069
160,99216558838657;125,55520459319445;75,31761003287345;34,87230676588142;136,82171129026653;160,99244433871448;54,91000882963939;7,550267275742499;32,39930984473608;33,26742873067229;76,88203157634815;imitation3.1.25.05.26.JPG;2618831
159,4722673728147;123,74089245466942;72,71115072711484;34,98342850997432;139,59427960385187;159,47283265355486;54,23892062844402;7,657366388797556;32,92429448026513;33,80302393330371;76,907192782384;imitation3.2.25.05.26.JPG;2612861
158,3530361862057;122,88843714799411;73,32530263480923;34,66765318574358;137,86423629162695;158,3533335860555;53,90400832949649;7,717107305837146;32,167115699823825;33,07985909304418;76,50932015100857;imitation3.3.25.05.26.JPG;2215872
159,058941228352;123,40157834425561;72,73640645087012;34,89536102120627;139,5287756672135;159,05946451676456;54,09692546032881;7,688658357506142;32,75509603526939;33,64538279791403;76,79001930952917;immitation2.1.25.05.26.JPG;2405939
147,0394017956677;113,93985948121613;72,49226092000681;32,88010895172595;130,71965533776384;147,03940608800266;50,282090812967525;7,889453978197395;27,843044025866845;28,93922225458822;74,17967930684995;Raw.07.05.26.JPG;1630814
141,59641346976522;109,63229756529394;66,82566851795985;34,07369103021251;136,09516075588152;141,59641346976522;48,43420859325476;7,286827463761313;28,58903368430424;29,503062578127523;75,70080137849617;Raw.28.04.26.JPG;1011005
161,05579448761702;126,32489959709866;74,18973165859282;35,742432414879204;138,66142792064312;161,05676040060746;55,10613875200523;7,060173108927074;33,24540500404652;33,986806237290054;78,01048073362337;raw25.05.26.JPG;2171003
137,87294591052594;105,10467418139176;63,873160537021874;33,091525610696316;138,00576493962282;137,8739758779003;46,755425502259264;7,968106982315504;28,037801840991733;29,148054153859817;74,13529703506185;RawCK_13.05.JPG;834007
150,88249290113376;118,04030925051165;74,28393912358321;33,91771802710017;130,59478213231588;150,88250066400252;51,8233818628965;7,333527220222038;28,885278107545673;29,80167634278305;75,75447010218959;Raw_10.04.26.JPG;1803457
